"","capital_run_length_average","knn_pred1","knn_pred2","logm_pred1","logm_pred2"
"1",1.729,1,1,1,1
"2",1.312,0,0,1,1
"3",5.659,0,0,1,1
"4",1.32,1,1,1,1
"5",4.857,1,1,1,1
"6",4,1,1,1,1
"7",3.1,1,1,1,1
"8",4,1,1,1,1
"9",4.06193333333333,1,1,1,1
"10",2.145,1,1,1,1
"11",1.468,1,1,1,1
"12",5.891,1,1,1,1
"13",2.06673333333333,1,1,1,1
"14",3.12193333333333,1,1,1,1
"15",2.777,1,1,1,1
"16",1.411,0,0,1,1
"17",4.85,0,0,1,1
"18",72.5,1,1,1,1
"19",3.4,1,1,1,1
"20",2.37586666666667,1,1,1,1
"21",5.13,1,1,1,1
"22",26.5,1,1,1,1
"23",2.9678,1,1,1,1
"24",1.775,1,1,1,1
"25",3.353,1,1,1,1
"26",3.8,1,1,1,1
"27",4.974,1,1,1,1
"28",7.3,1,1,1,1
"29",4.897,1,1,1,1
"30",10.068,1,1,1,1
"31",2.63513333333333,1,1,0,0
"32",3.46846666666667,1,1,1,1
"33",6.166,1,1,1,1
"34",4.875,1,1,1,1
"35",2.37,1,1,1,1
"36",5.709,1,1,1,1
"37",2.074,1,1,1,1
"38",10,1,1,1,1
"39",1.89346666666667,1,1,0,0
"40",2.128,1,1,1,1
"41",3.272,1,1,1,1
"42",7.202,1,1,1,1
"43",3.33813333333333,1,1,1,1
"44",1.461,1,1,1,1
"45",3.28773333333333,1,1,1,1
"46",2.10966666666667,1,1,1,1
"47",1.796,0,0,0,0
"48",5.714,1,1,1,1
"49",3.121,1,1,1,1
"50",3.4,1,1,1,1
"51",10.117,0,0,1,1
"52",1.969,1,1,0,0
"53",2.179,1,1,1,1
"54",5.114,1,1,1,1
"55",1,0,0,0,0
"56",9.428,1,1,1,1
"57",1.463,1,1,1,1
"58",1.72166666666667,0,0,0,0
"59",4.07,1,1,1,1
"60",2.676,1,1,1,1
"61",3.184,1,1,1,1
"62",2.403,1,1,0,0
"63",2.122,1,1,0,0
"64",59.1762666666667,1,1,1,1
"65",5.454,1,1,1,1
"66",6.266,1,1,1,1
"67",1.423,1,1,1,1
"68",3.4,1,1,1,1
"69",1.895,1,1,1,1
"70",3.105,1,1,1,1
"71",2.338,1,1,0,0
"72",173,1,1,1,1
"73",15.08,1,1,1,1
"74",7.17,1,1,1,1
"75",1.293,0,0,0,0
"76",2.63,1,1,1,1
"77",5.31506666666667,1,1,1,1
"78",4.23406666666667,1,1,1,1
"79",3.401,1,1,1,1
"80",2.604,1,1,1,1
"81",5.423,1,1,1,1
"82",1.741,0,0,1,1
"83",3.257,1,1,1,1
"84",2.962,1,1,1,1
"85",2.529,1,1,1,1
"86",3.43313333333333,1,1,1,1
"87",16.217,1,1,1,1
"88",4.979,1,1,1,1
"89",1.733,1,1,1,1
"90",24.785,1,1,1,1
"91",1.206,0,0,0,0
"92",6.487,1,1,1,1
"93",3.2242,1,1,1,1
"94",2.542,1,1,1,1
"95",2.333,1,1,1,1
"96",2.576,1,1,1,1
"97",1.266,1,1,0,0
"98",2.538,1,1,1,1
"99",3.343,1,1,1,1
"100",4.835,1,1,1,1
"101",4.5,1,1,1,1
"102",3.787,0,0,1,1
"103",2.44,1,1,1,1
"104",1.477,1,1,1,1
"105",4.23,1,1,1,1
"106",2.44,1,1,1,1
"107",1021.5,1,1,1,1
"108",2.44,1,1,1,1
"109",1.477,1,1,1,1
"110",3.787,0,0,1,1
"111",5.02033333333333,1,1,1,1
"112",4.022,1,1,1,1
"113",3.922,1,1,1,1
"114",3.548,1,1,1,1
"115",1.541,0,0,1,1
"116",3.664,1,1,1,1
"117",3.545,1,1,1,1
"118",3.31806666666667,0,0,1,1
"119",5.558,1,1,1,1
"120",6.77766666666667,1,1,1,1
"121",1.181,1,1,1,1
"122",4.896,1,1,1,1
"123",4.93,0,0,1,1
"124",8.0848,1,1,1,1
"125",2.52,1,1,1,1
"126",4.928,1,1,1,1
"127",4.51893333333333,1,1,1,1
"128",6.59,1,1,1,1
"129",2.559,1,1,1,1
"130",5.113,1,1,1,1
"131",2.125,1,1,1,1
"132",3.08653333333333,1,1,1,1
"133",2.919,1,1,1,1
"134",1.5,0,0,1,1
"135",1.44,1,1,1,1
"136",3.454,1,1,1,1
"137",2.28006666666667,1,1,1,1
"138",2.37873333333333,0,0,0,0
"139",13.82,1,1,1,1
"140",3.125,1,1,1,1
"141",4,1,1,1,1
"142",7.951,1,1,1,1
"143",1.2,0,0,0,0
"144",2.3,0,0,0,0
"145",2.3,0,0,0,0
"146",2.166,1,1,1,1
"147",1,1,1,0,0
"148",2.05,1,1,1,1
"149",2.17553333333333,1,1,1,1
"150",2.363,0,0,0,0
"151",5.086,1,1,1,1
"152",11,0,0,1,1
"153",3.333,1,1,1,1
"154",3.278,1,1,1,1
"155",3.871,1,1,0,0
"156",2.686,1,1,1,1
"157",7.538,1,1,1,1
"158",2.61,0,0,1,1
"159",4.133,1,1,1,1
"160",1.42,1,1,1,1
"161",3.871,1,1,0,0
"162",7.369,1,1,1,1
"163",1.204,1,1,1,1
"164",1.594,0,0,0,0
"165",4.913,1,1,1,1
"166",3.15,1,1,1,1
"167",4.41326666666667,1,1,1,1
"168",2.695,1,1,1,1
"169",5.875,1,1,1,1
"170",3.857,1,1,1,1
"171",9.2,1,1,1,1
"172",2.766,1,1,1,1
"173",6.652,1,1,1,1
"174",3.676,1,1,1,1
"175",4.047,1,1,1,1
"176",4.947,1,1,1,1
"177",3.816,1,1,1,1
"178",2.438,1,1,1,1
"179",3.1434,1,1,1,1
"180",1.961,1,1,1,1
"181",5.174,1,1,1,1
"182",2.307,1,1,1,1
"183",1.916,1,1,1,1
"184",1.827,1,1,1,1
"185",5.50473333333333,1,1,1,1
"186",3.925,1,1,0,0
"187",3.446,1,1,1,1
"188",1.55893333333333,0,0,0,0
"189",6.152,1,1,1,1
"190",2.692,1,1,0,0
"191",7.527,1,1,1,1
"192",3.979,1,1,1,1
"193",4.337,1,1,1,1
"194",3.488,1,1,1,1
"195",7.512,1,1,1,1
"196",4.181,1,1,1,1
"197",7.138,1,1,1,1
"198",6.611,1,1,1,1
"199",5.28646666666667,1,1,1,1
"200",4.411,1,1,1,1
"201",1,0,0,0,0
"202",5.6178,1,1,1,1
"203",1.661,0,0,0,0
"204",3.502,1,1,1,1
"205",3.571,1,1,1,1
"206",3.697,1,1,1,1
"207",3.305,1,1,1,1
"208",2.263,0,0,1,1
"209",8.55,1,1,1,1
"210",11.463,1,1,1,1
"211",1.779,1,1,1,1
"212",2.021,1,1,1,1
"213",3.219,1,1,1,1
"214",9.64,1,1,1,1
"215",4.041,1,1,1,1
"216",2.922,1,1,1,1
"217",3.214,1,1,1,1
"218",337.25,1,1,1,1
"219",337.25,1,1,1,1
"220",8.55,1,1,1,1
"221",5.872,1,1,1,1
"222",1.94,1,1,1,1
"223",1.65913333333333,0,0,0,0
"224",3.964,1,1,1,1
"225",2.779,1,1,0,0
"226",2.82,1,1,1,1
"227",8.445,1,1,1,1
"228",5.85,1,1,1,1
"229",2,1,1,1,1
"230",2.03,1,1,1,1
"231",10.533,1,1,1,1
"232",1.796,1,1,1,1
"233",4.071,1,1,1,1
"234",2.632,1,1,1,1
"235",2.373,1,1,1,1
"236",8.323,1,1,1,1
"237",1.98,1,1,1,1
"238",9.652,1,1,1,1
"239",2.232,1,1,1,1
"240",7.55,1,1,1,1
"241",3.451,1,1,1,1
"242",3.758,1,1,1,1
"243",8.0848,1,1,1,1
"244",6.601,1,1,1,1
"245",8.476,0,0,1,1
"246",9.705,1,1,1,1
"247",6.029,1,1,1,1
"248",2.7,1,1,1,1
"249",5.241,1,1,1,1
"250",1.688,1,1,1,1
"251",24.375,1,1,1,1
"252",105.8,1,1,1,1
"253",7.439,1,1,1,1
"254",4.466,0,0,0,0
"255",5.708,1,1,1,1
"256",2.73273333333333,1,1,1,1
"257",2.058,0,0,0,0
"258",1.867,1,1,1,1
"259",3.707,1,1,1,1
"260",1.58,1,1,1,1
"261",2.666,1,1,0,0
"262",1.559,1,1,1,1
"263",3.337,1,1,1,1
"264",1.666,0,0,1,1
"265",1.5892,0,0,0,0
"266",49.866,1,1,1,1
"267",18.9193333333333,1,1,1,1
"268",3.446,1,1,1,1
"269",3.22413333333333,1,1,1,1
"270",2.42413333333333,0,0,1,1
"271",2.358,0,0,0,0
"272",1.428,1,1,1,1
"273",3.545,1,1,1,1
"274",2.847,1,1,1,1
"275",3.12853333333333,1,1,1,1
"276",1.494,1,1,1,1
"277",2.555,1,1,1,1
"278",2.586,1,1,1,1
"279",6.186,1,1,1,1
"280",2.9,1,1,1,1
"281",4.924,1,1,1,1
"282",4.49686666666667,1,1,1,1
"283",295,1,1,1,1
"284",3.168,1,1,0,0
"285",2.588,1,1,0,0
"286",5.403,1,1,1,1
"287",4.184,1,1,1,1
"288",10.692,1,1,1,1
"289",2.673,1,1,1,1
"290",1.676,1,1,1,1
"291",2.315,1,1,0,0
"292",4.022,1,1,1,1
"293",3.184,1,1,1,1
"294",2.934,1,1,1,1
"295",2.511,1,1,1,1
"296",2.34,0,0,1,1
"297",4.281,1,1,1,1
"298",9.266,1,1,1,1
"299",69.727,1,1,1,1
"300",64.416,1,1,1,1
"301",6.294,1,1,1,1
"302",18.4,1,1,1,1
"303",2.271,1,1,1,1
"304",2.884,0,0,0,0
"305",4.906,1,1,1,1
"306",6.77,1,1,1,1
"307",6.14693333333333,1,1,1,1
"308",8.55,1,1,1,1
"309",2.62213333333333,1,1,1,1
"310",3.111,1,1,1,1
"311",2.9,1,1,1,1
"312",6.43693333333333,1,1,1,1
"313",19.482,1,1,1,1
"314",2.466,1,1,1,1
"315",3.5,1,1,1,1
"316",2.638,1,1,1,1
"317",2.813,0,0,0,0
"318",3.166,1,1,1,1
"319",1.96886666666667,1,1,1,1
"320",4.6244,1,1,1,1
"321",2.31606666666667,1,1,1,1
"322",1.515,1,1,1,1
"323",11.714,1,1,1,1
"324",29.125,1,1,1,1
"325",2.5802,1,1,1,1
"326",3.32273333333333,1,1,1,1
"327",6.833,1,1,1,1
"328",1.375,0,0,0,0
"329",3.341,1,1,1,1
"330",2.1244,1,1,1,1
"331",1.738,1,1,1,1
"332",6.723,1,1,1,1
"333",1.752,1,1,1,1
"334",2.1244,1,1,1,1
"335",2.103,1,1,1,1
"336",3,1,1,1,1
"337",5,1,1,0,0
"338",4.07,1,1,1,1
"339",4.14566666666667,1,1,1,1
"340",1.763,1,1,1,1
"341",1.421,0,0,0,0
"342",3.333,1,1,1,1
"343",1.90073333333333,1,1,1,1
"344",7.478,1,1,1,1
"345",7.478,1,1,1,1
"346",2.349,1,1,1,1
"347",2.04146666666667,0,0,1,0
"348",6.166,1,1,1,1
"349",4.869,1,1,1,1
"350",4.75,0,0,1,1
"351",1.372,1,1,1,1
"352",2.857,1,1,1,1
"353",8.55,1,1,1,1
"354",1.377,1,1,1,1
"355",8.411,0,0,1,1
"356",5.769,1,1,1,1
"357",7,1,1,1,1
"358",1.373,1,1,1,1
"359",5.173,1,1,1,1
"360",2.755,1,1,1,1
"361",2.755,1,1,1,1
"362",1.607,0,0,0,0
"363",5.132,1,1,1,1
"364",13.166,0,0,1,1
"365",1.392,1,1,1,1
"366",4.875,1,1,1,1
"367",4.652,1,1,1,1
"368",2.47,1,1,1,1
"369",3.4238,1,1,1,1
"370",4.02,1,1,1,1
"371",2.1428,1,1,1,1
"372",3.029,1,1,1,1
"373",3.3228,1,1,1,1
"374",4.941,1,1,1,1
"375",8.781,1,1,1,1
"376",2.413,1,1,1,1
"377",2.11713333333333,0,0,0,0
"378",6,1,1,1,1
"379",3.062,1,1,1,1
"380",2.878,1,1,1,1
"381",14.283,1,1,1,1
"382",2.923,1,1,0,0
"383",5.3,1,1,1,1
"384",3.52766666666667,0,0,1,1
"385",3.115,1,1,1,1
"386",2.5,1,1,1,1
"387",3.897,1,1,1,1
"388",2.99393333333333,1,1,1,1
"389",2.11,0,0,1,1
"390",4.904,1,1,1,1
"391",2.484,1,1,1,1
"392",6.652,1,1,1,1
"393",3.857,1,1,1,1
"394",2.777,1,1,1,1
"395",3.64373333333333,1,1,1,1
"396",16.418,1,1,1,1
"397",4.13086666666667,1,1,1,1
"398",6.0652,1,1,1,1
"399",3.613,1,1,1,1
"400",2.15506666666667,1,1,1,1
"401",3.9682,1,1,1,1
"402",7.121,1,1,1,1
"403",8.777,1,1,1,1
"404",5.632,1,1,1,1
"405",4.98986666666667,0,0,1,1
"406",2.2,0,0,1,1
"407",1.666,1,1,1,1
"408",4.458,1,1,1,1
"409",2.329,1,1,1,1
"410",2.228,1,1,1,1
"411",2.825,0,0,1,1
"412",2.315,1,1,1,1
"413",2.444,1,1,1,1
"414",3.417,1,1,1,1
"415",3.702,1,1,1,1
"416",2.125,1,1,1,1
"417",1,0,0,1,1
"418",5.037,1,1,1,1
"419",2.455,1,1,1,1
"420",3.904,1,1,1,1
"421",8.0848,1,1,1,1
"422",5.75,1,1,1,1
"423",5.648,1,1,1,1
"424",3.702,1,1,1,1
"425",3.318,1,1,1,1
"426",1.711,1,1,1,1
"427",6.686,1,1,1,1
"428",3.60993333333333,1,1,1,1
"429",2.614,1,1,1,1
"430",3,1,1,1,1
"431",4.1282,1,1,1,1
"432",9.785,1,1,0,1
"433",3.533,1,1,1,1
"434",2.666,1,1,1,1
"435",2.73113333333333,1,1,1,1
"436",4.45,1,1,1,1
"437",3.51746666666667,1,1,1,1
"438",4.215,1,1,1,1
"439",2.86086666666667,1,1,1,1
"440",2.51486666666667,0,0,0,0
"441",1.477,1,1,1,1
"442",3.343,1,1,1,1
"443",2.934,1,1,1,1
"444",6.027,1,1,1,1
"445",5.228,1,1,1,1
"446",2,1,1,1,1
"447",6.529,1,1,1,1
"448",3.272,0,0,0,0
"449",3.521,1,1,1,1
"450",2.638,1,1,1,1
"451",5.019,1,1,1,1
"452",1.545,0,0,0,0
"453",4.125,1,1,0,0
"454",6.266,1,1,1,1
"455",20,1,1,1,1
"456",3.72293333333333,1,1,1,1
"457",3.5,0,0,0,0
"458",1.263,0,0,0,0
"459",4.049,1,1,1,1
"460",3.937,1,1,0,0
"461",3.015,1,1,1,1
"462",7.666,1,1,1,1
"463",2.57613333333333,1,1,1,1
"464",6.091,1,1,0,0
"465",4.159,1,1,1,1
"466",3.8,0,0,1,1
"467",4.37493333333333,1,1,1,1
"468",3.015,1,1,1,1
"469",2.2188,0,0,0,0
"470",4.333,1,1,0,0
"471",1.4,1,1,1,1
"472",13.017,1,1,1,1
"473",3.575,1,1,1,1
"474",2.322,1,1,1,1
"475",3.305,1,1,1,1
"476",2.76233333333333,1,1,1,1
"477",2.23406666666667,1,1,1,1
"478",2.591,1,1,1,1
"479",5.49926666666667,1,1,1,1
"480",4.319,1,1,1,1
"481",2.8306,1,1,1,1
"482",3.697,1,1,1,1
"483",1.194,1,1,1,1
"484",3.697,1,1,1,1
"485",3.591,1,1,1,1
"486",9.1,1,1,1,1
"487",1.558,0,0,0,0
