Date,Location,MaxTemp,MinTemp,Rainfall,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm
2013-03-01,Albury,26.6,16.9,0.4,26,28,49,31,1016.3,1015.8
2013-03-02,Albury,29.2,14.3,0,17,24,46,28,1021.8,1019
2013-03-03,Albury,31.8,12,0,13,17,52,23,1021.7,1018.2
2013-03-04,Albury,31,12.8,0,2,15,64,23,1021.5,1017.6
2013-03-05,Albury,30.9,13.5,0,6,19,66,28,1021,1017
2013-03-06,Albury,31.3,14.4,0,7,15,65,34,1019.8,1016.1
2013-03-07,Albury,33.8,16.6,0,4,9,64,29,1018.5,1015.6
2013-03-08,Albury,34.9,17.9,0,7,13,65,24,1020,1016.1
2013-03-09,Albury,33,18.6,0,6,9,65,32,1019.8,1016
2013-03-10,Albury,35.1,19.7,0,4,7,65,24,1018.6,1015.5
2013-03-11,Albury,35.7,20.1,0,4,13,56,32,1018.5,1015.5
2013-03-12,Albury,33.7,19.4,0,7,13,66,32,1019.2,1014.3
2013-03-13,Albury,33.9,17.7,0,22,17,47,28,1012.3,1007.3
2013-03-14,Albury,30.7,15.5,0,7,17,63,26,1011.3,1009.6
2013-03-15,Albury,31.7,13.8,0,9,11,64,31,1015.6,1013
2013-03-16,Albury,27.5,12,0,4,26,60,36,1013.1,1011.5
2013-03-17,Albury,23,11.1,0.2,13,15,39,26,1018.3,1018.1
2013-03-18,Albury,24.1,7.1,0,6,15,55,28,1022,1019.6
2013-03-19,Albury,26.3,9.1,0,0,9,63,25,1023.8,1020.9
2013-03-20,Albury,28.6,9.9,0,2,20,59,33,1023.5,1018
2013-03-21,Albury,20.2,14.9,2.6,7,26,81,82,1015.7,1009.7
2013-03-22,Albury,23.3,10.1,17.4,0,13,73,45,1014.6,1012.9
2013-03-23,Albury,24.2,9,0,4,9,79,38,1018.5,1016.2
2013-03-24,Albury,28.3,9.5,0,7,22,82,29,1016.9,1013.1
2013-03-25,Albury,27.7,10.3,0,0,13,76,34,1019,1016.9
2013-03-26,Albury,31.3,14.9,0,0,13,70,29,1017.9,1014.1
2013-03-27,Albury,35.1,13.8,0,2,22,69,27,1015.7,1011
2013-03-28,Albury,22.2,18.3,10.4,24,20,84,84,1013.1,1015.4
2013-03-29,Albury,20.4,6.6,19.8,7,13,68,38,1021.1,1018.5
2013-03-30,Albury,21.5,7,0.2,7,13,92,53,1017.9,1014.2
2013-03-31,Albury,23,10.9,0,7,15,72,60,1013.6,1013.4
2013-04-01,Albury,22.9,8.4,0,6,19,86,42,1019.3,1016.9
2013-04-02,Albury,23.8,8.5,0,6,17,83,49,1018.6,1016.5
2013-04-03,Albury,22.5,8.6,0,15,15,61,40,1021.5,1020.6
2013-04-04,Albury,24.3,8.9,0,7,11,72,38,1028.2,1025.8
2013-04-05,Albury,25.3,10.3,0,0,9,78,42,1030.1,1026.8
2013-04-06,Albury,25.7,11.2,0,6,11,80,40,1027.7,1023.2
2013-04-07,Albury,26.7,10,0,6,11,74,37,1025,1021.1
2013-04-08,Albury,26,11.5,0,2,9,67,44,1026,1023.3
2013-04-09,Albury,26.6,10.7,0,4,11,72,39,1027.3,1022.8
2013-04-10,Albury,27.1,10.3,0,6,6,72,38,1024.8,1020.6
2013-04-11,Albury,27.6,10.3,0,7,15,76,34,1023.9,1021
2013-04-12,Albury,28.2,11.4,0,7,2,74,33,1025.2,1021
2013-04-13,Albury,26.7,10.4,0,7,15,75,32,1019.9,1013.9
2013-04-14,Albury,24.8,14.4,0,7,9,80,53,1013,1009.1
2013-04-15,Albury,23.6,14.5,0.8,2,19,77,47,1010.6,1009
2013-04-16,Albury,23.8,8.3,0,7,9,63,43,1015.2,1012.9
2013-04-17,Albury,22.2,8.9,0,2,7,69,49,1016.9,1013.8
2013-04-18,Albury,23.9,8.6,0,6,22,73,37,1016.3,1014
2013-04-19,Albury,17.8,5.1,0,11,22,50,41,1021.1,1020
2013-04-20,Albury,20.3,2.6,0,2,17,55,38,1019.6,1016.7
2013-04-21,Albury,21.1,4,0,6,9,70,35,1016.3,1010.7
2013-04-22,Albury,14.6,10.6,7,11,11,90,79,1010.7,1010.3
2013-04-23,Albury,20,10.9,1.6,7,20,85,47,1014.2,1014.2
2013-04-24,Albury,16.9,6,0,2,13,89,48,1020.8,1019.4
2013-04-25,Albury,20.5,5.7,0,2,15,83,48,1023.9,1021.4
2013-04-26,Albury,21.4,6,0,0,13,79,53,1024.8,1022
2013-04-27,Albury,23.1,5.6,0,7,11,90,44,1023,1017.6
2013-04-28,Albury,26.5,7.9,0,6,17,66,28,1017.8,1015.2
2013-04-29,Albury,15.8,7.9,0.2,0,2,92,77,1024.2,1024.4
2013-04-30,Albury,20.4,8.6,2.6,6,9,77,62,1025.6,1021.9
2013-05-01,Albury,17.9,9.3,0.2,6,19,83,50,1020.9,1019.3
2013-05-02,Albury,18.6,2.5,0,9,9,74,38,1027.7,1025.4
2013-05-03,Albury,20.6,1.7,0,7,6,79,35,1027.4,1020.9
2013-05-04,Albury,19.7,6.6,0.4,4,19,81,38,1021.9,1020.4
2013-05-05,Albury,17.9,1.6,0,7,9,66,35,1025.8,1022.6
2013-05-06,Albury,18.6,2.5,0,4,13,66,37,1027.2,1023.2
2013-05-07,Albury,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-08,Albury,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,Albury,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-10,Albury,23.2,6.2,NA,0,9,86,38,1031.8,1027.9
2013-05-11,Albury,23.4,5.7,0,0,13,81,39,1030.5,1025.1
2013-05-12,Albury,24.2,5,0,0,15,82,38,1025,1019.2
2013-05-13,Albury,15.7,11.3,9.8,15,22,96,65,1015.3,1013.6
2013-05-14,Albury,11.6,1.9,4.6,0,15,100,82,1015.8,1013.7
2013-05-15,Albury,13.7,6.1,7.4,11,15,97,79,1012.2,1010
2013-05-16,Albury,14,9.1,1.4,19,17,90,76,1010.7,1009.9
2013-05-17,Albury,14.9,3.5,1.6,11,9,100,71,1015.9,1014.4
2013-05-18,Albury,13.1,1.4,0,2,15,100,62,1018,1016
2013-05-19,Albury,15,0.6,0.2,4,19,100,63,1020.4,1018
2013-05-20,Albury,14.6,2.9,1.4,2,15,99,72,1020.3,1016
2013-05-21,Albury,14.9,5.3,1,9,4,100,55,1018.1,1015.8
2013-05-22,Albury,13.5,2.8,0,4,0,98,79,1014.1,1011.7
2013-05-23,Albury,17.2,5.4,0,17,20,59,45,1016.9,1017.6
2013-05-24,Albury,17.4,1.4,0,7,7,75,40,1024.2,1021.8
2013-05-25,Albury,16.3,-0.2,0,0,11,100,57,1026.6,1024.8
2013-05-26,Albury,12.8,1.3,0.2,0,6,100,81,1029.2,1026
2013-05-27,Albury,16.6,1.1,0,7,9,100,53,1030.5,1028.2
2013-05-28,Albury,18,2.7,0.2,0,11,79,62,1031.6,1027.7
2013-05-29,Albury,19.3,4.2,0,0,7,100,57,1030.3,1026.1
2013-05-30,Albury,15.2,7.8,0.6,11,9,98,91,1026.6,1024.9
2013-05-31,Albury,17.6,11.2,16,6,13,100,82,1026.2,1022.7
2013-06-01,Albury,15.4,10.3,19.4,19,7,99,98,1015.9,1011.5
2013-06-02,Albury,17.3,11.4,53.4,13,17,68,48,1013.4,1015.3
2013-06-03,Albury,14.3,0.6,0.2,0,11,84,70,1024.6,1023
2013-06-04,Albury,14.5,1.9,0,6,4,100,69,1027.8,1025.3
2013-06-05,Albury,13.6,3.5,0,NA,13,100,71,1025,1022.2
2013-06-06,Albury,15,5.8,0.4,2,13,100,65,1021.9,1019.6
2013-06-07,Albury,16.9,8.5,1.2,19,20,95,64,1020.1,1021.5
2013-06-08,Albury,14.6,1.7,1,2,9,100,65,1031.3,1029.3
2013-06-09,Albury,13.8,0.6,0.2,0,7,100,71,1028.2,1024.6
2013-06-10,Albury,13.8,3.1,0,0,7,100,80,1021.1,1019.6
2013-06-11,Albury,15.6,3.4,0,2,15,100,67,1022.1,1017.8
2013-06-12,Albury,11.8,4.9,15,13,6,100,100,1011.4,1008.4
2013-06-13,Albury,13.4,10,16.8,7,13,NA,93,1007.1,1005.5
2013-06-14,Albury,12.2,4.3,3.6,0,6,100,90,1009,1009.4
2013-06-15,Albury,15.4,1.2,0.2,4,7,93,51,1016.8,1016.7
2013-06-16,Albury,14.3,-0.2,0,0,9,83,51,1018.7,1015.5
2013-06-17,Albury,10.4,0.3,0.2,0,2,100,83,1014.1,1011.9
2013-06-18,Albury,15.5,3.1,0.6,2,11,100,63,1016.5,1016
2013-06-19,Albury,14.5,0.8,0,0,7,89,52,1025.8,1024.1
2013-06-20,Albury,14.1,0,0,4,7,97,50,1026.3,1022.5
2013-06-21,Albury,13.2,-0.5,0.2,0,9,97,60,1022.8,1019.9
2013-06-22,Albury,13.9,-1.3,0,6,7,87,53,1026.1,1024.8
2013-06-23,Albury,14.1,-0.4,0,9,7,89,51,1031.2,1027.8
2013-06-24,Albury,13.1,2,0,0,7,84,85,1026.9,1023.2
2013-06-25,Albury,17,7.8,1,19,17,56,51,1023,1020.9
2013-06-26,Albury,16.8,0.9,0,0,6,81,51,1024.5,1021.8
2013-06-27,Albury,14.1,-0.1,0,6,7,95,67,1024.3,1021.3
2013-06-28,Albury,16,2,0,0,6,92,59,1025.2,1022.4
2013-06-29,Albury,18.4,4.3,0,0,2,100,60,1026.2,1023.7
2013-06-30,Albury,15.7,1.4,0,0,13,97,54,1028.2,1025.8
2013-07-01,Albury,12.9,2,0,0,9,100,82,1026.8,1024.8
2013-07-02,Albury,16,7.4,0.6,2,17,100,65,1025.8,1023.9
2013-07-03,Albury,14.8,3.1,0,0,11,100,69,1025.7,1022.2
2013-07-04,Albury,15.4,1.9,0.2,9,19,83,59,1016.4,1011.5
2013-07-05,Albury,12.2,8.4,0,30,20,73,56,1011.7,1014
2013-07-06,Albury,13.3,4.8,1.6,11,20,83,60,1021.6,1019.8
2013-07-07,Albury,13,6.1,2.2,11,7,91,74,1028.1,1027.4
2013-07-08,Albury,13.9,4.6,2.6,6,17,100,61,1033.4,1032.5
2013-07-09,Albury,12.6,-0.5,0,0,6,90,55,1037.3,1033.3
2013-07-10,Albury,14.9,3.2,0.2,0,6,78,55,1033.7,1031.1
2013-07-11,Albury,15.1,1.7,0,0,7,84,60,1035.2,1032
2013-07-12,Albury,15.8,1.5,0,4,7,100,64,1032,1028.3
2013-07-13,Albury,14.8,5,0,0,7,100,74,1029.4,1026.1
2013-07-14,Albury,14,8,5,9,7,100,90,1025.2,1022.7
2013-07-15,Albury,14.6,11.1,5,11,9,86,89,1022.1,1020.9
2013-07-16,Albury,15.5,10.1,2.4,7,6,100,85,1024.6,1022.3
2013-07-17,Albury,18,11.1,2,7,13,100,78,1022.1,1018.8
2013-07-18,Albury,20.5,12.1,0,17,22,73,69,1019.1,1013.7
2013-07-19,Albury,17.3,13.5,33.6,26,26,83,69,1010.3,1008.7
2013-07-20,Albury,11.9,8.3,4.4,9,19,89,78,1006.5,1005.2
2013-07-21,Albury,11.2,4.5,7.2,11,15,92,65,1016.6,1014.9
2013-07-22,Albury,11.7,4.4,0,9,9,76,73,1018.6,1017.5
2013-07-23,Albury,12.4,3.4,0.6,7,17,100,73,1023.7,1023.8
2013-07-24,Albury,14.7,1.9,0,7,6,100,56,1030.7,1028.9
2013-07-25,Albury,11.3,0.8,0,9,7,100,73,1031.1,1028.4
2013-07-26,Albury,12.8,3.5,0,7,11,98,63,1029.4,1027.2
2013-07-27,Albury,13.9,0.3,0,0,9,100,69,1030.1,1027.1
2013-07-28,Albury,16.1,3,0.2,0,24,98,56,1027.5,1021.7
2013-07-29,Albury,17.7,6.2,5,9,19,87,70,1021.6,1018.5
2013-07-30,Albury,13.2,5.7,0.2,0,17,100,90,1021.4,1021.4
2013-07-31,Albury,14.5,5,0,0,4,100,72,1025.8,1023.4
2013-08-01,Albury,14.3,2.8,0,4,9,100,65,1024.3,1020.3
2013-08-02,Albury,15.9,7,0,0,24,87,55,1016.3,1012.1
2013-08-03,Albury,10.4,4.7,1.2,13,17,87,83,1018.6,1014.5
2013-08-04,Albury,13.1,6.3,1,15,19,89,62,1015.3,1015.6
2013-08-05,Albury,13.3,7.4,1.6,13,15,96,85,1017.6,1014.5
2013-08-06,Albury,13.6,8,2.8,24,20,74,68,1009.2,1010
2013-08-07,Albury,11.5,3.4,0.4,7,11,94,89,1014.4,1010.7
2013-08-08,Albury,15.9,5.9,8.2,9,6,81,55,1014.4,1015
2013-08-09,Albury,11.2,2.6,0,9,11,95,85,1019.8,1016.6
2013-08-10,Albury,16.6,5.7,2.8,0,13,95,62,1017.9,1016.7
2013-08-11,Albury,15.6,2.9,0,9,13,100,58,1019.2,1014.9
2013-08-12,Albury,14.9,5.8,17.2,31,44,94,54,1004.3,1006
2013-08-13,Albury,14.5,4.6,1.2,17,15,79,57,1015.8,1014.9
2013-08-14,Albury,18.4,7.4,0,13,20,65,58,1011.6,1005.9
2013-08-15,Albury,14.1,1.8,6.6,11,11,84,60,1022.8,1021.5
2013-08-16,Albury,16.2,2.1,0,9,26,100,45,1021.4,1012.2
2013-08-17,Albury,14.4,6.4,3.8,9,15,78,58,1010.9,1011.5
2013-08-18,Albury,18.3,4.7,0.6,13,33,79,43,1015.2,1009.7
2013-08-19,Albury,11.3,6.6,6,17,20,85,72,1013,1011.1
2013-08-20,Albury,10.7,1.5,9.8,17,22,86,63,1017.6,1016.2
2013-08-21,Albury,11,2.2,0.2,11,11,94,67,1018.4,1015.5
2013-08-22,Albury,11.9,6.4,4.2,15,17,89,85,1012.6,1010.6
2013-08-23,Albury,12.3,8.6,8.8,22,19,94,94,1011.6,1011.9
2013-08-24,Albury,15,6,4.2,9,0,100,75,1023.3,1023.8
2013-08-25,Albury,16.2,8.1,0,7,15,87,64,1026.6,1024.4
2013-08-26,Albury,17.1,9.5,0,2,9,76,61,1025.9,1023.4
2013-08-27,Albury,17.8,8.1,0.4,2,7,91,60,1023.9,1019.7
2013-08-28,Albury,20.8,5.4,0,9,11,91,59,1022.1,1018.5
2013-08-29,Albury,20,9.8,2.8,11,26,84,51,1018.8,1011.4
2013-08-30,Albury,18.5,10.2,3.6,15,13,67,61,1016.5,1015
2013-08-31,Albury,20.7,6.1,0.2,7,6,88,45,1022.3,1020.8
2013-09-01,Albury,22.2,5.3,0,7,9,80,53,1028.5,1025.8
2013-09-02,Albury,23.8,7,0,0,7,74,42,1031.7,1029.4
2013-09-03,Albury,23.3,8,0,2,6,80,51,1033.3,1029.8
2013-09-04,Albury,23.7,7.5,0,7,17,82,51,1031.8,1026.8
2013-09-05,Albury,22.6,11.9,0,4,11,79,51,1027.8,1024.5
2013-09-06,Albury,20.9,13.6,0,7,7,82,61,1026.6,1023.4
2013-09-07,Albury,19.8,10.1,0,0,22,73,50,1024.9,1023.3
2013-09-08,Albury,18.8,4.8,0.2,6,15,75,36,1027.2,1023.8
2013-09-09,Albury,23.4,7.9,0,7,17,73,47,1019.1,1010.2
2013-09-10,Albury,17.5,12.5,0,15,24,80,54,1008.1,1006.8
2013-09-11,Albury,16,6.2,0.4,15,26,79,64,1013.7,1012
2013-09-12,Albury,15.4,2.4,0,0,24,81,50,1016.4,1014.8
2013-09-13,Albury,14.7,2.6,0,7,15,67,50,1018.9,1015.3
2013-09-14,Albury,19.3,6.4,0.8,4,15,73,53,1015.1,1013
2013-09-15,Albury,20.3,3.7,0.2,13,7,84,48,1018.6,1014.6
2013-09-16,Albury,13.6,7.7,3.2,7,9,93,99,1012.7,1006.8
2013-09-17,Albury,18.4,10.8,37.4,7,22,100,82,1002.2,999.6
2013-09-18,Albury,18.7,11.2,0.2,11,11,92,76,1003,999.6
2013-09-19,Albury,14,7.7,1.2,20,20,79,67,1008.7,1007.6
2013-09-20,Albury,14.9,7.3,2,22,19,87,72,1009.1,1010.7
2013-09-21,Albury,17.6,5.2,0.4,4,13,100,47,1016.8,1014.1
2013-09-22,Albury,20.4,5.8,0.2,11,13,94,56,1015.5,1010.6
2013-09-23,Albury,23.9,6.1,0.2,7,17,77,47,1011,1006
2013-09-24,Albury,22.3,14.2,0,4,22,63,47,1004.4,1005.2
2013-09-25,Albury,24,10.6,0.2,6,13,68,44,1009,1007.4
2013-09-26,Albury,16.7,10.3,0.8,35,35,84,50,1006.6,1011.3
2013-09-27,Albury,18.5,2.6,3.6,9,13,74,43,1020.8,1015.5
2013-09-28,Albury,16.9,7.4,0,30,31,64,46,1013.7,1012.6
2013-09-29,Albury,20,3.7,0,4,13,75,51,1018.6,1015.6
2013-09-30,Albury,26.4,7,0,6,28,70,42,1014.4,1007
2013-10-01,Albury,17.2,15.8,1.6,17,30,87,56,1002.9,1008
2013-10-02,Albury,19.7,3.7,4,22,28,64,41,1014.2,1006.1
2013-10-03,Albury,16.5,6.8,1,24,28,64,48,1016.3,1017.8
2013-10-04,Albury,18.9,3.2,0,7,9,74,48,1024,1019.7
2013-10-05,Albury,21.7,5.5,0,9,13,83,50,1018.4,1013.2
2013-10-06,Albury,22.9,6.2,0,0,17,76,46,1009.1,1006.2
2013-10-07,Albury,20.1,4.9,0,6,13,77,51,1012.7,1011
2013-10-08,Albury,20.6,5.6,0,4,19,69,48,1016.6,1016.1
2013-10-09,Albury,24.3,5.6,0,9,15,83,45,1019.9,1015.2
2013-10-10,Albury,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-11,Albury,18.5,NA,NA,17,17,73,52,1016.4,1015.8
2013-10-12,Albury,23.1,5.2,0,6,9,78,38,1016.3,1010.9
2013-10-13,Albury,24.7,6.8,0,0,35,70,61,1001.9,1001.6
2013-10-14,Albury,15.5,4.6,2.2,15,24,77,49,1018.4,1018.5
2013-10-15,Albury,20.1,2.5,0,2,6,81,42,1024.5,1020.9
2013-10-16,Albury,25.5,3.8,0,6,35,75,21,1017.4,1009.8
2013-10-17,Albury,17.7,11.2,0,26,46,62,43,1006.3,1012
2013-10-18,Albury,18.9,0.8,0,6,11,72,40,1027.1,1025.3
2013-10-19,Albury,24.7,3.6,0,11,13,75,26,1027.2,1021.7
2013-10-20,Albury,29.7,7.4,0,6,19,67,29,1019.4,1014.6
2013-10-21,Albury,27.6,10.8,0,7,9,64,45,1013.7,1012.1
2013-10-22,Albury,26.2,16,2.8,0,24,81,60,1011.1,1007.4
2013-10-23,Albury,18.2,13.3,2.6,17,20,90,87,1008.4,1010.5
