Location,lon,lat
Australia Albury,146.9135418,-36.0737293
Australia BadgerysCreek,150.7608502,-33.8828765
Australia Cobar,145.8388597,-31.495761
Australia CoffsHarbour,153.1093922,-30.298612
Australia Moree,149.833889,-29.465833
Australia Newcastle,151.7816802,-32.9282712
Australia NorahHead,151.5667,-33.2833
Australia Penrith,150.687674,-33.7506759
Australia Richmond,144.998,-37.823
Australia Sydney,151.2092955,-33.8688197
Australia SydneyAirport,151.1752764,-33.9399228
Australia WaggaWagga,147.3598323,-35.1081689
Australia Williamtown,151.842778,-32.815
Australia Wollongong,150.8930607,-34.4278121
Australia Canberra,149.1300092,-35.2809368
Australia Tuggeranong,149.0888,-35.4244
Australia MountGinini,148.7722786,-35.5293845
Australia Ballarat,143.8502556,-37.5621587
Australia Bendigo,144.2793906,-36.7570157
Australia Sale,147.073027,-38.1026004
Australia MelbourneAirport,144.8410273,-37.6690123
Australia Melbourne,144.9630576,-37.8136276
Australia Mildura,142.1245535,-34.2080167
Australia Portland,141.6041155,-38.360895
Australia Watsonia,145.083,-37.708
Australia Dartmoor,141.2730001,-37.9143894
Australia Brisbane,153.0251235,-27.4697707
Australia Cairns,145.7780548,-16.9185514
Australia GoldCoast,153.4,-28.016667
Australia Townsville,146.8169483,-19.2589635
Australia Adelaide,138.6007456,-34.9284989
Australia MountGambier,140.7803529,-37.8284212
Australia Nuriootpa,138.9916574,-34.4666111
Australia Woomera,136.8192607,-31.1656389
Australia Albany,117.8837206,-35.0269344
Australia Witchcliffe,115.0973175,-34.0168479
Australia PearceRAAF,116.0292429,-31.6675838
Australia PerthAirport,115.9672492,-31.9385476
Australia Perth,115.8604572,-31.9505269
Australia SalmonGums,121.6438183,-32.9815165
Australia Walpole,116.7331553,-34.9758607
Australia Hobart,147.3271949,-42.8821377
Australia Launceston,147.1440875,-41.43322149999999
Australia AliceSprings,133.8807471,-23.698042
Australia Darwin,130.8456418,-12.4634403
Australia Katherine,132.2715145,-14.4521139
